,IP,日期,Request方式,url,http版本,返回码,reponse长度,referer,user_agent,缓存是否命中
43,126.247.213.123,[26/Apr/2019:23:59:11 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",200,396,"['""https://www.wondercv.com/zh-CN/cvs/DPoQ86A/custom_sections/2072858/edit?client=ios""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_1_4likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/16D57/wondercv_ios/app_version=2.3.1""",HIT
44,58.253.69.253,[26/Apr/2019:23:59:11 +0800],"""GET",/companies.json?term=%E7%A7%81%E4%BA%BA%E6%B7%98%E5%AE%9D%E5%BA%97&lang=cn,"HTTP/1.1""",200,33,"['""https://www.wondercv.com/zh-CN/cvs/sDMwxn8/editor""']","""Mozilla/5.0(WindowsNT10.0;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36Core/1.70.3650.400QQBrowser/10.4.3341.400""",MISS
45,112.96.69.149,[26/Apr/2019:23:59:11 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294351371,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/wEgl40o/orgs""']","""Mozilla/5.0(iPhone;CPUiPhoneOS11_2_6likeMacOSX)AppleWebKit/604.5.6(KHTML,likeGecko)Mobile/15D100MicroMessenger/6.7.2NetType/4GLanguage/zh_CN""",MISS
46,112.96.69.149,[26/Apr/2019:23:59:11 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294351370,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/wEgl40o/orgs""']","""Mozilla/5.0(iPhone;CPUiPhoneOS11_2_6likeMacOSX)AppleWebKit/604.5.6(KHTML,likeGecko)Mobile/15D100MicroMessenger/6.7.2NetType/4GLanguage/zh_CN""",MISS
47,183.63.97.158,[26/Apr/2019:23:59:11 +0800],"""POST",/zh-CN/signin/scan/check,"HTTP/1.1""",200,50,"['""https://www.wondercv.com/zh-CN/cvs?utm_campaign=%E7%9F%A5%E4%B9%8E&utm_medium=%E7%9F%A5%E4%B9%8E%E6%96%87%E7%AB%A0&utm_source=%E7%9F%A5%E4%B9%8E%E5%B9%BF%E5%91%8A%E5%B9%B3%E5%8F%B0&gio_link_id=DPW61LRn""']","""Mozilla/5.0(WindowsNT10.0;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36""",MISS
48,117.136.32.57,[26/Apr/2019:23:59:11 +0800],"""GET",/assets/application-3e5f44e19e50027709573ede0932e044413fda22d1cf07a0cbd1d3284c17dd64.js,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/cvs/LgPY7xY/other""']","""Mozilla/5.0(Linux;Android8.0.0;MI5sPlusBuild/OPR1.170623.032;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/67.0.3396.87XWEB/673MMWEBSDK/190102MobileSafari/537.36MMWEBID/5845MicroMessenger/7.0.3.1400(0x2700033C)Process/appbrand0NetType/4GLanguage/zh_CNminiProgram""",MISS
49,112.96.69.149,[26/Apr/2019:23:59:11 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",200,396,"['""https://www.wondercv.com/zh-CN/cvs/wEgl40o/orgs""']","""Mozilla/5.0(iPhone;CPUiPhoneOS11_2_6likeMacOSX)AppleWebKit/604.5.6(KHTML,likeGecko)Mobile/15D100MicroMessenger/6.7.2NetType/4GLanguage/zh_CN""",HIT
50,112.96.69.149,[26/Apr/2019:23:59:11 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",200,396,"['""https://www.wondercv.com/zh-CN/cvs/wEgl40o/orgs""']","""Mozilla/5.0(iPhone;CPUiPhoneOS11_2_6likeMacOSX)AppleWebKit/604.5.6(KHTML,likeGecko)Mobile/15D100MicroMessenger/6.7.2NetType/4GLanguage/zh_CN""",HIT
51,106.121.144.209,[26/Apr/2019:23:59:11 +0800],"""GET",/zh-CN/cvs/f1rTRNg/editor,"HTTP/1.1""",200,37795,"['""https://www.wondercv.com/zh-CN/cvs""']","""Mozilla/5.0(Linux;Android8.0.0;MIX2Build/OPR1.170623.027;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/67.0.3396.87XWEB/775MMWEBSDK/190301MobileSafari/537.36MMWEBID/137MicroMessenger/7.0.4.1420(0x27000437)Process/appbrand0NetType/4GLanguage/zh_CNminiProgram""",MISS
52,140.207.54.77,[26/Apr/2019:23:59:11 +0800],"""POST",/wechat?signature=c0cdd79676e92fa6bd3e929a8abd0cbe9cb96eda&timestamp=1556294351&nonce=977172010&openid=oodHF0uqmOKy-EcaxJ7QClVhp3Ww,"HTTP/1.1""",200,5,"['""-""']","""Mozilla/4.0""",MISS
53,218.106.145.18,[26/Apr/2019:23:59:11 +0800],"""POST",/zh-CN/cvs/1576309/edus/2093754,"HTTP/1.1""",200,262,"['""https://www.wondercv.com/zh-CN/cvs/gKDnhOg/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.75Safari/537.36""",MISS
54,36.23.99.215,[26/Apr/2019:23:59:11 +0800],"""POST",/zh-CN/signin/scan,"HTTP/1.1""",200,148,"['""https://www.wondercv.com/?_c=baidu&_p=pcczc&_k=0610""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/64.0.3282.140Safari/537.36Edge/17.17134""",MISS
